,id,speaker,date,title
83,cuuJ9czNT0g,biden,2020-09-04T18:11:35Z,LIVE: Presidential candidate Joe Biden delivers remarks on the August employment report
84,HGwE2LNWj4o,biden,2020-09-04T23:55:41Z,Biden delivers remarks from Delaware on the economic crisis amid COVID-19
85,oIBl19NxLtU,trump,2020-09-05T19:42:00Z,"Speech  Donald Trump Delivers Campaign Remarks in Latrobe, Pennsylvania   September 3, 2020"
86,YNMQzLnkJ94,biden,2020-09-07T12:53:13Z,Biden Delivers Remarks On Reopening Schools
87,QVst_8O8YEw,pence,2020-09-07T17:20:24Z,Pence delivers remarks on jobs at Dairyland Power Cooperative in Wisconsin
88,Gg0Uo6EKflk,pence,2020-09-07T17:33:14Z,Pence speaks at 'A Stronger American Workforce' event in Wisconsin
89,A5oJSJjFk2A,trump,2020-09-07T18:16:46Z,Pres. Trump holds Labor Day news conference
90,2zCEP4tkDWQ,trump,2020-09-07T18:19:24Z,Trump holds news conference to mark Labor Day
91,Jtm2HOUljtg,trump,2020-09-07T18:20:32Z,Trump holds Labor Day news conference at White House
92,a2ET_oiFS5s,pence,2020-09-07T18:21:14Z,Vice President Pence remarks at Dairyland Power in La Crosse
93,vXB_30_3Je8,trump,2020-09-07T18:22:40Z,🔴 Watch LIVE: President Trump Holds a Labor Day News Conference - 9/7/20
94,naDuBCBaaz0,pence,2020-09-07T18:45:08Z,Vice President Pence Delivers Remarks at A Stronger American Workforce
95,YsrBhCXhlBY,trump,2020-09-07T18:45:36Z,LIVE: President Trump holds press event at White House
96,zddirtktOgA,trump,2020-09-07T18:48:48Z,"WATCH LIVE: Trump addresses jobs, economy in Labor Day news conference"
97,4rSKWIyOYas,trump,2020-09-07T19:43:46Z,Trump holds Labor Day news conference at White House
98,TKXdcfqkXDc,pence,2020-09-08T00:22:30Z,WATCH: VP Mike Pence speech in La Crosse
99,-VVIkXMR2I4,pence,2020-09-08T05:16:23Z,Vice President Mike Pence Delivers Remarks at A Stronger American Workforce
100,c0lt0Cf2kQc,trump,2020-09-08T19:27:06Z,Live: Trump Delivers Remarks On The Environment | NBC News
101,nUGjYs3YTes,trump,2020-09-08T19:27:17Z,President Trump Delivers Remarks on Environmental Accomplishments for the People of Florida
102,LcpPA2C4mew,trump,2020-09-08T19:28:10Z,"President Trump speaks in Jupiter, Florida on environmental accomplishments — 9/8/2020"
103,eBVEf0ly6G8,trump,2020-09-08T19:29:26Z,"🔴 President Trump Speaks in Jupiter, FL on Environmental Accomplishments for the People of Florida"
104,V9HgTko9y3U,trump,2020-09-08T19:29:32Z,"Watch LIVE: President Donald Trump Delivers Remarks in Jupiter, FL 9/8/20"
105,xfLUAJ2DiM0,trump,2020-09-08T19:31:26Z,WATCH: Trump speaks on environmental accomplishments
106,eAM948gYPe8,trump,2020-09-08T19:55:45Z,WATCH LIVE: Trump delivers remarks about the environment in Florida
107,8e4XufaznSo,trump,2020-09-08T20:39:39Z,President Trump Delivers Remarks on Environmental Accomplishments for the People of Florida
