,0
disgust,0.010066366295509789
surprise,0.011272345254547702
polarity,0.012682441770317188
anger,0.015839709666183525
sadness,0.016791009838840763
anticipation,0.017040070710815983
fear,0.018081257513960516
joy,0.02208683048505073
trust,0.03055021853687037
