id,0,1,2,3,title,speaker,group,date
oKukIj76_L4,-0.3727462033469215,-0.1432092367683684,-0.002463633898415061,0.05457634499315351,Full Video: President Trump speaks at campaign rally in Battle Creek,trump,0,2019-12-20 21:48:33+00:00
D_HvgYKE_Ag,-0.3326418794443126,-0.1792392571218033,-0.04792024183360067,0.10971961760188279,"FULL RALLY: President Trump talks impeachment and more in Toledo, Ohio",trump,0,2020-01-10 02:26:58+00:00
WKWKqp13RRI,-0.3042549071426521,-0.17310224543167174,-0.061070202698280535,0.07043534583255841,"Donald Trump hosts ""Keep America Great"" rally in Milwaukee, Wis.",trump,0,2020-01-15 02:45:40+00:00
_5ryKmfBm9E,0.43648448741734197,-0.2388103136982578,0.15494353986098458,0.20723913700695976,VP Pence OpenING Speech First 2020 KAG Rally | Toledo OH | 1-09-20 20,pence,2,2020-01-15 03:38:47+00:00
wMyJFjK5WzI,0.19670867521715135,0.24849156357148355,-0.1948693780353733,0.14368781906734107,CAMPAIGN 2020: Joe Biden's full 2020 King Day at the Dome speech,biden,1,2020-01-21 02:18:03+00:00
n4sd-uFLBeE,-0.16861894670582045,-0.14091757530688545,-0.14821425712102343,0.10669082044047469,"Trump Rally in Wildwood New Jersey, Jan. 28, 2020, full speech",trump,0,2020-01-29 06:59:18+00:00
PA0duhpkkT0,-0.3355254839406512,-0.17036814853342422,-0.10131011773587442,0.10571829149056439,"LIVE: President Trump in Des Moines, IA",trump,0,2020-01-31 03:12:02+00:00
WXtnH_r1HC8,0.1160915298770464,-0.02933094264572086,-0.2875665455989928,0.15830701510282635,LIVE: State of the Union Address,trump,1,2020-02-05 08:14:03+00:00
R33k5M4a8aU,-0.24865937930089835,-0.1406574114078102,-0.15622508099088675,0.1648577246220875,"LIVE: President Trump in Manchester, NH",trump,0,2020-02-11 01:38:10+00:00
9e8mjUJcSb8,-0.2703970988408041,-0.18298314739942925,-0.06625120037622269,0.13003105068894547,"LIVE: President Trump in Phoenix, AZ",trump,0,2020-02-20 04:32:33+00:00
AEJ99-7Rm_k,-0.2936949948920338,-0.14030870010946775,-0.040687359831127694,0.13022121875392909,"LIVE: President Trump in Colorado Springs, CO",trump,0,2020-02-21 04:03:34+00:00
0pJnrHKoBHY,-0.37730842533638004,-0.1285085392499912,-0.012820613058338285,0.08958156607884589,"LIVE: President Trump in Las Vegas, NV",trump,0,2020-02-21 22:43:46+00:00
no0MnomPzLw,-0.28850959277052507,-0.1642516788826139,-0.10701329291856305,0.10079364062627424,"LIVE: President Trump in North Charleston, SC",trump,0,2020-02-29 02:10:45+00:00
89ewdfbqGxo,-0.25489404044671665,-0.15139615622160943,-0.08094450627747464,0.12961135037766786,"LIVE: President Trump in Charlotte, NC",trump,0,2020-03-03 01:55:29+00:00
-8KiohxTJ0Y,0.1335802378392576,0.13109652814021291,-0.21330504714165502,-0.0005354536007914912,I'm about to take the stage from California. Tune in to watch live:,biden,1,2020-03-04 03:52:43+00:00
LXqI5QFNiP8,0.1293996155184175,0.043715616997058344,-0.12153480268449118,0.08320770443859501,I'm about to take the stage from Mississippi. Tune in to watch live:,biden,1,2020-03-08 21:31:27+00:00
NdWlxDtt8Qk,0.2510917499354105,0.07574124792025373,-0.19488700701499034,0.0816619742342814,I'm about to take the stage from Philadelphia. Tune in to watch live:,biden,1,2020-03-11 03:04:25+00:00
JfBVHeZkVFs,-0.023219213177188374,0.15272834795589124,-0.10995151504795123,-0.24202209738135666,Joe Biden delivers remarks on the impact of the Coronavirus on Young Americans. Tune in:,biden,1,2020-03-25 18:11:44+00:00
4PEkEc1ZFBs,0.047326153959782624,0.0972374601732717,-0.11722651937312903,-0.2153108832942631,Joe Biden Delivers Remarks on Implementation & Oversight of CARES Act | Joe Biden For President,biden,1,2020-04-02 21:16:46+00:00
QfLPYh8a4nQ,0.20996922561464984,0.11320157088531627,-0.2244285447001436,0.049255574260451025,Joe Biden remarks on Protests,biden,1,2020-06-02 16:10:27+00:00
yy6jBRVDcpI,0.24502708586095034,0.16038978225486383,-0.12832002763010197,-0.14487113203042162,Vice President Biden Delivers Remarks On Having a Safer Economic Reopening,biden,1,2020-06-17 18:54:20+00:00
GwLjM8EqP2o,0.4556129109192516,-0.27679566101382974,0.18956005985298668,0.07409846652220531,"Vice President Mike Pence speaks at a Make America Great Again Rally in Tulsa, OK | FULL SPEECH",pence,2,2020-06-21 01:40:09+00:00
9CBReIcgQYw,-0.33093625174734614,-0.15238871570405543,-0.057753579512546074,0.021387440681091323,"LIVE: President Trump in Tulsa, Oklahoma",trump,0,2020-06-21 02:24:14+00:00
m9fQZVl7H9M,-0.24177013812107362,-0.12215710308727293,-0.09356632907040331,0.03175248653648164,Trump addresses crowd of young Americans at Arizona rally | FULL,trump,0,2020-06-24 00:17:44+00:00
m_lYduRUumA,0.2129144624948868,0.3268696056629326,-0.15874875742207334,0.1518998535905618,Vice President Biden's Remarks at Global Pride | Joe Biden For President,biden,1,2020-06-29 19:46:46+00:00
ZcR_kuCJvD8,0.13527040783857394,0.12582482007512438,-0.0923599430014909,-0.21126923738602899,Vice President Biden delivers remarks on Trump’s failure to protect the American people,biden,1,2020-06-30 18:07:35+00:00
mXD4zPY4Ai0,0.1898119687450775,0.03170533541037797,-0.27413114453791493,0.2677014396918208,President Trump's full speech at Mount Rushmore | USA TODAY,trump,1,2020-07-04 19:25:54+00:00
T5pTdbSMcrI,0.16751358960830184,0.0950753813749561,-0.13916261000541633,-0.10224898998252059,Joe Biden Delivers Remarks On His “Build Back Better” Plan For An Equitable Clean Energy Future,biden,1,2020-07-14 18:58:46+00:00
W6XdpDOH1JA,-0.2167892518349802,0.0651871142233723,0.054174628905419214,-0.18687646006141756,President Trump goes one-on-one with Chris Wallace | Full Interview,trump,3,2020-07-19 19:30:10+00:00
zIVdxsiu_r4,0.08383188775614664,0.20073764867790386,-0.17945678729242637,-0.16256474275874772,Joe Biden Unveils $775 Billion ‘Build Back Better’ Plan to Boost Child and Elderly Care,biden,1,2020-07-21 18:32:25+00:00
zaaTZkqsaxY,-0.19191868673888687,0.13429674703400146,0.033646979146020356,-0.10851026937873352,AXIOS on HBO: President Trump Exclusive Interview (Full Episode) | HBO,trump,3,2020-08-04 03:57:59+00:00
LAu-Sq8oegs,-0.14574254748939328,0.21817953684942448,-0.03822788239791461,-0.2290743826787591,"Trump offers Lebanon assistance following explosion, touts' coronavirus response | FULL",trump,3,2020-08-04 22:46:52+00:00
R1a0GsjYS-M,0.39218100062779104,-0.27442186148102937,0.14654028876864983,0.03557425541626345,JUST IN: Pence responds to Kamala Harris being chosen as Joe Biden's 2020 running mate,pence,2,2020-08-11 23:53:58+00:00
hHYIWW5n5Rg,0.18136313645317698,0.07018735427685996,-0.1787756544373522,-0.11947227527185353,Democratic VP candidate Kamala Harris speaks at Joe Biden event,harris,1,2020-08-12 22:17:49+00:00
BcMEeXa1Kvc,0.19034714818983886,-0.0011804061363394477,-0.1387329472120054,-0.17893879423208991,Joe Biden introduces Kamala Harris as running mate,biden,1,2020-08-12 22:29:45+00:00
XuljlCg7g98,-0.22781759110434013,0.03958077755152074,0.09123991541584596,-0.19856399704263444,"Trump slams Kamala Harris, makes 2020 predictions | Full Interview",trump,3,2020-08-13 13:30:08+00:00
IOJSI0Zfjcc,-0.14574254748939328,0.21817953684942448,-0.03822788239791461,-0.2290743826787591,WATCH LIVE: President Trump comes to Minnesota for Mankato campaign stop,trump,3,2020-08-17 19:56:13+00:00
bk_LxkjjF1g,-0.26847134326518385,-0.14644060242230036,-0.0611507587310552,-0.00920279391641648,"WATCH: President Trump in Yuma, AZ",trump,0,2020-08-18 22:31:25+00:00
JijFLcbIqMs,0.2183066565702907,0.15173634329586114,-0.2122352252831873,-0.0036931842698119397,WATCH: Kamala Harris’ full speech at the 2020 Democratic National Convention | 2020 DNC Night 3,harris,1,2020-08-20 03:41:13+00:00
hDj4cEcPu9I,-0.33861536823069893,-0.1407089546076602,0.020847748526077025,-0.08169004574524873,"Trump Delivers Remarks at Mariotti Building Products in Old Forge, Pennsylvania",trump,0,2020-08-20 20:44:15+00:00
mmSOCQX2UGs,0.17003904470631395,0.0038681221678623554,-0.25193332562778903,-0.01657801437418269,Joe Biden speaks at the 2020 Democratic National Convention | Full Speech,biden,1,2020-08-21 03:33:24+00:00
Og8PLfNwNOw,0.27442858851013213,0.08772384713326171,-0.14137201194674726,-0.10601135787700552,Kamala Harris to discuss Trump's response to coronavirus,harris,1,2020-08-27 19:30:31+00:00
Pks8WrpOnh8,0.39218100062779104,-0.27442186148102937,0.14654028876864983,0.03557425541626345,WATCH LIVE: Mike Pence speaks at Trump campaign event in Michigan,pence,2,2020-08-28 22:41:29+00:00
gQi_sJxTtKA,0.06679214855845365,-0.16451796359288898,-0.20321863117884553,0.06467218267312519,President Donald Trump's Full Republican National Convention Speech | NBC10 Philadelphia,trump,1,2020-08-28 22:42:26+00:00
RGualDMvwAo,0.06694071285893292,-0.16322724618434892,-0.20323694442708543,0.06556368947072762,President Trump's Full RNC 2020 Speech | NowThis,trump,1,2020-08-30 15:59:49+00:00
aEGm-ZXA6gM,0.29110598698615775,0.010148949998402183,-0.125500366384323,-0.042140647081023164,FULL VIDEO: Joe Biden delivers remarks on violence across America,biden,1,2020-08-31 18:11:49+00:00
lLsae1X4gx4,-0.10310387033080833,0.13982892189108828,0.019327097627823808,-0.10521222546240563,"Jacob Blake protests: Trump announces funding for Kenosha police, businesses during visit | FULL",trump,3,2020-09-01 19:54:33+00:00
CiANHbSPyF8,0.03160797618318305,0.14853323895024645,-0.03683754912071689,-0.3017339434605251,"FULL VIDEO: Joe Biden makes remarks on education and takes questions in Wilmington, Delaware",biden,1,2020-09-02 18:08:28+00:00
9TLcgEq-zZo,0.005096221364114335,0.04536062541837911,-0.14029976368030225,0.25910094927988264,"President Trump designates Wilmington, NC as the first American World War II Heritage City | FULL",trump,1,2020-09-02 18:54:58+00:00
uBigQgyIPkE,0.2999784597420009,0.015283186510243482,-0.12614605534770046,-0.036572589389189766,Joe Biden's full campaign speech HD 8/31/2020,biden,1,2020-09-03 04:25:23+00:00
QHTgRNP_1VI,-0.38124824883323416,-0.12133156571646618,0.037983397279430176,-0.059603787576621756,Trump delivers campaign remarks at Arnold Palmer Regional Airport,trump,0,2020-09-04 00:59:45+00:00
KWLoD36kLfM,-0.3164417060441207,-0.21032625095247903,0.002790011431238463,-0.0715752675802788,"Raw Video: President Trump Full Speech at Rally in Winston-Salem, NC (High Quality) 9/8/20",trump,0,2020-09-09 01:39:01+00:00
MnwvPtiC6d8,-0.305559276676345,-0.19112977059700084,0.04812092478482399,-0.0793519954451422,"FULL RALLY: President Trump campaigns in Freeland, Michigan",trump,0,2020-09-11 00:55:27+00:00
Jx4xAU4EH-A,-0.31319357832560074,-0.15522466856767592,0.04910115618360199,-0.054951298403505926,"Trump delivers remarks from Minden, Nevada",trump,0,2020-09-13 04:11:14+00:00
g7uj3KdRU_8,-0.25216482880947294,-0.15762294074453026,0.0059437608580764,0.00937532191845139,"Trump holds a campaign event in Henderson, Nevada",trump,0,2020-09-14 03:25:46+00:00
wPK7ojxRNk4,0.3068113999591432,-0.3198804242812971,0.22407822162415883,-0.06984182199238279,Pence campaigns in Wisconsin | FULL REMARKS,pence,2,2020-09-14 17:12:58+00:00
zYz-QRYtR9U,0.24508512337882427,0.1052571084754208,-0.20453206545347466,0.2280783394109317,LIVE: Trump's full speech at the White House Conference on American History (Sept. 17) | NTD,trump,1,2020-09-17 19:47:02+00:00
Ct3F3efEa0g,-0.369052395396445,-0.17165471464641355,0.05569437005711714,-0.05501919905600672,"FULL RALLY: President Trump in Mosinee, Wisconsin",trump,0,2020-09-18 03:01:59+00:00
AZ1tNqhazlE,-0.06827040089896806,0.17541305140298566,-0.0038101908488655098,-0.11086584355442768,"Trump talks COVID-19 vaccine distribution, TikTok ban | FULL",trump,3,2020-09-18 19:47:02+00:00
u5iue1zOJu0,-0.3799066593435526,-0.1445215192008387,0.04444702185500868,-0.03440188054738975,Live: Trump Holds Campaign Rally In North Carolina | NBC News,trump,0,2020-09-20 01:03:17+00:00
ml5-xY3P8L4,0.243238777684557,0.1434114474954451,-0.20888691561185582,0.02690257866842051,Joe Biden Speech on The Supreme Court & Justice Ruth Bader Ginsburg LIVE,biden,1,2020-09-20 18:53:46+00:00
b-1S_pkGQw4,0.015865809620212428,0.04982076647235588,-0.1283203699379534,-0.042885246133561185,Live: Biden speaks in Wisconsin,biden,1,2020-09-21 20:07:16+00:00
Od2YM_c-jqc,-0.3390233688621933,-0.1343658269261827,0.10103777928325905,-0.08881935011410812,"President Trump FULL Speech at Vandalia, OH Campaign Rally (High Quality!) 9/21/20",trump,0,2020-09-22 01:57:02+00:00
TYPu7CCRwwc,0.30628667941390675,-0.2542004850985825,0.16018778086157912,0.028938472287491395,Full video: Vice President Mike Pence holds campaign rally in Gilford,pence,2,2020-09-22 22:33:33+00:00
-bHGb17kejM,-0.05405652938927145,0.26634479767440683,0.103881625391549,-0.25716973117132064,President Trump holds press conference at the White House,trump,3,2020-09-23 22:54:43+00:00
ZqOjQggdxFo,-0.31447696109584483,-0.1613435758778031,-0.006525150743861935,-0.04165779335966229,"President Trump holds a freewheeling campaign rally in Jacksonville, FL | FULL RALLY",trump,0,2020-09-25 03:55:20+00:00
8gvkshtY1kk,-0.14495080326064663,0.2414376969776935,0.16858413865985997,-0.07819092044461372,"""Benjamin Crump Interview, Joe Biden Interview, Ask The CLO and more"" | Full Show 09.25.20",biden,3,2020-09-25 16:37:24+00:00
vHqWGv880hc,-0.2557559825236663,-0.02980305653320393,0.055589841889920194,-0.060540365883708994,FULL: Trump campaign speech in Atlanta,trump,0,2020-09-25 20:38:44+00:00
skvB3pBHLYE,-0.34716995824643604,-0.12470121533939636,0.07375703288333561,-0.0730029177656477,"🔴LIVE: PRESIDENT DONALD TRUMP FULL SPEECH AT MIDDLETOWN, PA RALLY...",trump,0,2020-09-27 06:52:17+00:00
wYU2FJxsSeE,0.10774608155175748,0.11556624428513217,0.012635326792992365,0.026333038386985884,Trump: What's The Deal? Full Documentary (1991),trump,1,2020-09-28 10:32:55+00:00
YuNJUS7pbSM,0.3109226661483325,0.2304790658888307,-0.2921908418839453,0.029657447704515418,Kamala Harris Responds LIVE to Trump’s Supreme Court Nomination,harris,1,2020-09-28 19:09:58+00:00
6Zg1ij9NtUM,0.146367501518295,0.23448306640219432,-0.0635815951133657,-0.14076020695944624,Trump Gives Update On Coronavirus Testing Strategy | NBC News,trump,3,2020-09-28 20:11:10+00:00
gcScfpozUfo,0.30616201773359536,0.23487100632251529,-0.29103935720073054,0.02475763938436528,Kamala Harris full incredible  speech on Supreme Court and the election.,harris,1,2020-09-29 03:10:40+00:00
am3mGAxL7RE,0.29866251682896744,-0.3259999730121228,0.24597971057442333,-0.06493531058691217,"LIVE: Pence Hosts Presidential Debate Watch Party in Lititz, Pennsylvania",pence,2,2020-09-29 23:42:05+00:00
w1q10K8Cmic,-0.221973859893435,0.2795289598784522,0.22491255557408,0.012108670258180382,"9-3-20 Biden Visits Kenosha, full livestream coverage",biden,3,2020-09-30 02:57:05+00:00
7l4kfvSXjFM,0.30616201773359536,0.23487100632251529,-0.29103935720073054,0.02475763938436528,"President Trump FULL Speech at Vandalia, OH Campaign Rally High Quality! 92120",trump,1,2020-09-30 15:05:56+00:00
RtOB47APY3A,0.04851266090641744,0.026973265609495645,-0.00031809906323875984,-0.19011981984154133,Joe Biden holds campaign event in Pennsylvania,biden,1,2020-09-30 22:18:20+00:00
A3nJ5R9aBBE,0.08633467493303826,0.14067720428604696,-0.020836050150961544,-0.05279326017957015,Mike Pence in Atlanta: Why and when is he here?,pence,1,2020-10-01 00:24:31+00:00
SB9xXl8sHsE,-0.24213644461592307,-0.158507910647503,0.023248766162678562,-0.056006408989995406,"RAW VIDEO: President Donald Trump FULL SPEECH at Duluth, MN Rally 9/30/20",trump,0,2020-10-01 03:28:36+00:00
75QgFPgSySA,-0.03921382067057351,0.31870734638701465,0.0768320410560079,-0.016465787024470026,Could life exist on other planets? John Harris,harris,3,2020-10-02 03:57:12+00:00
WX1wwgm9GZ0,0.0057727977287706025,0.3665129782025887,0.08360567790729842,0.0057042312433507394,Canvas + O365 Integration with Jeff Pence,pence,3,2020-10-02 19:58:52+00:00
y_SUMiYe-w0,0.1556437488669464,0.11588812195749118,0.018609713939807215,0.02429001745958073,The president's taxes: A story to 'Trump' all the others? | The Listening Post,trump,1,2020-10-03 15:00:13+00:00
XFYLwrs30UI,0.06699366088563632,0.20769475041397148,-0.0151323112138082,-0.015615376217587774,Stop Joe Biden Rally in Delaware FULL | The Frontline with Joe & Joe,biden,1,2020-10-03 18:54:35+00:00
0wKPQXjZdVY,0.06702501891876766,0.21446686284321373,-0.009083259389438528,-0.019635154152341988,Stop Joe Biden Rally in Delaware FULL | The Frontline with Joe & Joe,biden,1,2020-10-04 06:25:36+00:00
