id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity
oWlLZZ8pcp8,0.01665968147527242,0.017497904442581726,0.0124685666387259,0.014878457669740152,0.03237636211232188,0.019488683989941323,0.019803017602682313,0.035100586756077114,0.017078792958927076
Z6N1WdJgnLo,0.014124293785310734,0.021314843348741654,0.0061633281972265025,0.014637904468412942,0.02824858757062147,0.017719568567026195,0.009758602978941962,0.03697996918335902,0.025166923472008218
WIwGrZKdsY0,0.018400437238112587,0.01903807615230461,0.011750774275824376,0.018491528511568593,0.024867917653488794,0.018218254691200583,0.014574603752960467,0.02960466387320095,0.009655674986336309
u-AEAq7jzcU,0.012509573653306101,0.011743681388817973,0.006127138115905029,0.01506254786826653,0.019147306612203218,0.008935409752361501,0.010211896859841715,0.031146285422517232,0.017104927240234873
GgINUxecNrg,0.0189873417721519,0.016373142542652725,0.013208585580627407,0.017749036873968078,0.02572922399559714,0.021876719867914143,0.016097963676389652,0.030132085855806272,0.011970280682443588
S7j1hYXD0uk,0.012396694214876033,0.013774104683195593,0.0,0.01790633608815427,0.015151515151515152,0.01928374655647383,0.0027548209366391185,0.0371900826446281,0.015151515151515152
yE2sMLutWZA,0.013854930725346373,0.016299918500407497,0.011409942950285249,0.018744906275468622,0.035859820700896494,0.008149959250203748,0.011409942950285249,0.06845965770171149,0.05704971475142624
MEqINP-TuV8,0.021605342411941862,0.017546156867880056,0.01532015189210423,0.023569464449391123,0.026319235301820086,0.021343459473615295,0.012701322508838549,0.033128191698310855,0.0098206101872463
xH-iCVFTb6w,0.022612460909309597,0.024055809477988934,0.008900649506855906,0.03343757517440462,0.03848929516478229,0.01732018282415203,0.018763531392831368,0.04811161895597787,0.0293480875631465
Vd65smKGDVo,0.010362694300518135,0.02072538860103627,0.008635578583765112,0.01468048359240069,0.03367875647668394,0.008635578583765112,0.004317789291882556,0.06822107081174439,0.0613126079447323
6qvB5tHRNOI,0.018598382749326146,0.016531895777178795,0.012129380053908356,0.018059299191374664,0.02821203953279425,0.018238993710691823,0.014375561545372867,0.03099730458221024,0.014645103324348607
17Xl75GwOaM,0.01795020266357846,0.01818181818181818,0.01470758540822235,0.019455703532136652,0.0267515923566879,0.019918934568616098,0.016560509554140127,0.03022582513028373,0.011696583671105964
