,index,trump,biden,harris,pence
0,"""dad",0.0,0.00247925843855618,0.006503933615868288,0.0
1,"""i",0.0001942639156700356,0.0019144950501339608,0.002869924679397535,0.00030115246584061625
2,"""oh",0.00039602109284141916,0.0010035866891118551,0.000877582466090649,0.0
3,"$10,000",0.0007128379671145545,0.00033452889637061836,0.000877582466090649,0.0
4,'cause,0.0007128379671145545,0.00033452889637061836,0.000877582466090649,0.0
5,(applause),0.0,0.00041320973975936324,0.03577163488727558,0.0
6,000,0.013857492651129205,0.03035842150926709,0.010762217547740757,0.019574910279640055
7,1,0.0021369030723703917,0.005743485150401882,0.0007174811698493838,0.00030115246584061625
8,1%,0.00223359684681643,0.0,0.0,0.0
9,1.1,0.001116798423408215,0.0,0.0,0.0
10,1.3,0.00025901855422671413,0.0019144950501339608,0.0007174811698493838,0.00030115246584061625
11,1.5,0.0023311669880404272,0.0019144950501339608,0.002152443509548151,0.00030115246584061625
12,1.6,0.0006848307703239458,0.0,0.0,0.0009099777241046305
13,1.8,0.0026414901141066484,0.0,0.0010839889359780478,0.0
14,10,0.0132747009041191,0.011213471007927484,0.020089472755782746,0.009938031372740337
15,10%,0.000950450622819406,0.00033452889637061836,0.000877582466090649,0.0
16,"10,000",0.0010761626390804863,0.0008264194795187265,0.0,0.0
17,10.6,0.0006848307703239458,0.0,0.0,0.001364966586156946
18,100,0.006410709217111175,0.012854466765185165,0.006457330528644454,0.00481843945344986
19,100%,0.004591282407344884,0.0,0.0,0.0
20,"100,000",0.0006848307703239458,0.00247925843855618,0.0,0.0
21,1000,0.00039602109284141916,0.001672644481853092,0.0,0.0003683526965553226
22,11,0.0016836206024736418,0.002461493635886521,0.00789229286834322,0.0021080672608843136
23,11.4,0.000475225311409703,0.0,0.001755164932181298,0.0007367053931106452
24,12,0.004727088614637533,0.005196486564649322,0.00573984935879507,0.005119591919290477
25,120,0.0006848307703239458,0.0,0.0,0.001819955448209261
26,125,0.000475225311409703,0.0020071733782237103,0.0,0.0003683526965553226
27,13,0.0025901855422671414,0.0019144950501339608,0.0035874058492469186,0.0027103721925655464
28,130,0.0011739956062696215,0.00041320973975936324,0.0,0.0
29,132,0.001116798423408215,0.0,0.0,0.0
30,14,0.00372259827270934,0.001672644481853092,0.000877582466090649,0.0
31,142,0.0018613307056803583,0.0,0.0,0.0
32,15,0.005957426747214425,0.007657980200535843,0.008609774038192604,0.00240921972672493
33,15%,0.00019566593437827024,0.003305677918074906,0.0,0.0
34,150,0.002395921626597106,0.0010939971715051204,0.0007174811698493838,0.004517286987609244
35,16,0.004532824698967497,0.002461493635886521,0.002152443509548151,0.0006023049316812325
36,160,0.001504880152797393,0.00033452889637061836,0.0,0.0011050580896659677
37,17,0.0025254309037104627,0.002187994343010241,0.007174811698493837,0.0015057623292030814
38,1776,0.0012718285734587564,0.00041320973975936324,0.0,0.0
39,18,0.003496750482060641,0.003008492221639081,0.0014349623396987675,0.0018069147950436975
40,180,0.0022664123494837486,0.0005469985857525602,0.002152443509548151,0.00030115246584061625
41,183,0.0010761626390804863,0.0,0.0,0.00045498886205231525
42,19,0.004079542229070748,0.013401465350937725,0.006457330528644454,0.0009034573975218488
43,197,0.000880496704702216,0.0,0.0010839889359780478,0.0
44,1972,0.0005827917470101068,0.0010939971715051204,0.0014349623396987675,0.0006023049316812325
45,1st,0.0009065649397934994,0.0002734992928762801,0.0007174811698493838,0.00030115246584061625
46,2,0.002460676265153784,0.004102489393144201,0.0050223681889456865,0.0018069147950436975
47,"2,000",0.0007920421856828383,0.00033452889637061836,0.000877582466090649,0.0
48,2.2,0.0014674945078370267,0.0,0.0,0.001364966586156946
49,2.5,0.00269294343132165,0.0,0.003510329864362596,0.0011050580896659677
50,20,0.009130404036491672,0.006016984443278162,0.00789229286834322,0.0027103721925655464
51,200,0.002913958735050534,0.004922987271773042,0.004304887019096302,0.00722765918017479
52,"200,000",0.00025901855422671413,0.002187994343010241,0.0007174811698493838,0.0006023049316812325
53,2008,0.0002376126557048515,0.0020071733782237103,0.0026327473982719466,0.0
54,2009,0.00015840843713656766,0.001672644481853092,0.0,0.0011050580896659677
55,2016,0.005698408192987711,0.002734992928762801,0.00573984935879507,0.014756470826190197
56,2017,0.0007920421856828383,0.003345288963706184,0.000877582466090649,0.0
57,2018,0.0011088590599559738,0.0013381155854824734,0.001755164932181298,0.0
58,2019,0.0010296548413876898,0.002341702274594329,0.0,0.0007367053931106452
59,2020,0.005633653554431032,0.0038289901002679216,0.010044736377891373,0.006625354248493557
60,2021,0.0003237731927833927,0.0013674964643814005,0.0007174811698493838,0.00030115246584061625
61,2023,0.0,0.004132097397593633,0.0010839889359780478,0.0
62,20th,0.00025901855422671413,0.0013674964643814005,0.0014349623396987675,0.00030115246584061625
63,21,0.0018131298795869989,0.0016409957572576805,0.0014349623396987675,0.00030115246584061625
64,210,0.00029349890156740537,0.003305677918074906,0.0,0.0
65,21st,0.0,0.008909770721920162,0.0,0.0
66,22,0.0016836206024736418,0.003281991514515361,0.0014349623396987675,0.005420744385131093
67,220,0.0001942639156700356,0.0008204978786288403,0.002152443509548151,0.001204609863362465
