topic_id,biden,harris,pence,trump,topterms,trump-biden
0,0.022330968491876525,0.013750914253989142,0.05330060673182828,0.4588474715737748,time dollars state thing job history right world thank jobs,0.43651650308189827
1,0.09713823791768257,0.001758635185909875,0.0017213422405487839,0.007832167740865358,vaccine virus time health crisis question questions things workers work,-0.08930607017681721
2,0.06080285031052271,0.001758680623044179,0.03146760536051161,0.0985321737009673,job time thing thank state states law things police world,0.03772932339044459
3,0.029922636015391694,0.028620496443001058,0.014885065427311937,0.17870540848482044,time china thing biden job dollars im guy world things,0.14878277246942875
4,0.00591139909399024,0.021802773147807316,0.6962169054408882,0.05447919658903544,biden trump law day joe donald america freedom states jobs,0.048567797495045195
5,0.36191906387262973,0.31089781510020587,0.029809164473042906,0.007446583842961422,trump america americans jobs states care nation health time families,-0.3544724800296683
6,0.27370949593425964,0.1957558769878817,0.07939360612504448,0.021888225154192257,fact plan care jobs health workers tax time thing things,-0.2518212707800674
7,0.06656926235687448,0.12767174297597467,0.004888615535715016,0.03822730655693746,nation history world today children men thank dad justice words,-0.02834195579993702
8,0.03213889703130977,0.0017586071721971206,0.0048195467647989786,0.047772805571250215,america world americans nation thank biden history jobs news rico,0.01563390853994045
9,0.0006832613388764846,0.00175859252090967,0.04253223260798447,0.0004929558287480978,space nations world moon today mission year exploration leadership vision,-0.00019030551012838679
10,0.0006832473311603649,0.0017585812405464564,0.0017213183381146876,0.0004929465670778969,trading wellspring turned customer going aberration vile nationalism demands torch,-0.000190300764082468
11,0.048190680305426004,0.292707284348533,0.03924399095421064,0.08528275838936908,time thank election history vote biden thing law joe nation,0.037092078083943075
