term,0,1,2,3,trump_rally,pence,interviews,formal
"$10,000",-0.000718304307329468,0.00016436266351493398,5.791063743722618e-05,-0.00030190144223830195,0.000553941643814534,-0.000882666970844402,0.000882666970844402,-0.000553941643814534
"$2,000",-8.269902075512143e-05,0.00038432513023901,0.00018867508181449552,-0.00013845596031700227,-0.0003016261094838886,-0.0004670241509941314,0.0004670241509941314,0.0003016261094838886
$400,-0.00017778347445622682,-0.0004083058323410603,-0.0004668961844718176,-0.0006240815528673316,0.0005860893067972872,0.0002305223578848335,-0.0002305223578848335,-0.0005860893067972872
(applause),0.0033360021926091927,-0.00593654205409315,0.002649294395185087,0.00470758827045307,0.002600539861483957,0.009272544246702343,-0.009272544246702343,-0.002600539861483957
000,0.0001586466303698429,-0.0016944536544240005,-0.014596700379487272,-0.0010641415054385005,0.0015358070240541577,0.0018531002847938433,-0.0018531002847938433,-0.0015358070240541577
1,-0.00043328419824685164,-0.002304861538625244,-0.0014050807277761115,-0.0025017323908666407,0.0027381457368720954,0.0018715773403783923,-0.0018715773403783923,-0.0027381457368720954
1%,-0.0014029873089500123,0.00038045403621300554,0.00033703649943550844,-2.3671694386547767e-05,0.0010225332727370068,-0.001783441345163018,0.001783441345163018,-0.0010225332727370068
1.1,-0.000906258340980079,0.0003779838661844876,0.00013950731921001666,-0.00014385580323157655,0.0005282744747955913,-0.0012842422071645666,0.0012842422071645666,-0.0005282744747955913
1.3,-3.2463269206675856e-05,-0.0007075243187233238,-0.0008456829896730125,-0.0010433362625437927,0.0007399875879299997,0.000675061049516648,-0.000675061049516648,-0.0007399875879299997
1.5,-0.0018777078270795187,0.0003407489788102732,0.0002812722343184909,-0.0010304494936678695,0.0015369588482692456,-0.002218456805889792,0.002218456805889792,-0.0015369588482692456
1.6,0.00038388057593770813,0.0005731340025460171,-0.0010622324111090294,0.0011370896068821352,-0.0009570145784837253,-0.00018925342660830897,0.00018925342660830897,0.0009570145784837253
1.8,-0.0018571189780698157,0.0008991303352635191,-5.542536978470601e-05,1.0630406613804994e-05,0.0009579886428062966,-0.0027562493133333347,0.0027562493133333347,-0.0009579886428062966
10,-0.0034988880332525543,0.0018731339357658844,-0.0008944359872411348,0.0001272481532989448,0.0016257540974866699,-0.005372021969018439,0.005372021969018439,-0.0016257540974866699
10%,-0.0009683249340113693,0.00011586083559647731,0.0005075508410942539,-0.00034581883898207654,0.0008524640984148921,-0.0010841857696078467,0.0010841857696078467,-0.0008524640984148921
"10,000",-0.0008009386973173588,-3.3253712592021885e-06,0.0006592742251028029,-0.0009300075187801255,0.0008042640685765609,-0.0007976133260581566,0.0007976133260581566,-0.0008042640685765609
10.6,-0.00013636639022403347,0.0007561729573525039,-0.0005575428272270684,0.0004911735933434525,-0.0006198065671284704,-0.0008925393475765373,0.0008925393475765373,0.0006198065671284704
100,-0.0005555268708239371,-0.0013218364595946582,-0.0023869008271929074,-0.0024250511678969135,0.0018773633304185952,0.000766309588770721,-0.000766309588770721,-0.0018773633304185952
100%,-0.001954314887353987,0.0003448143297874126,0.0012848962799365583,-0.00013701469591840087,0.0016095005575665745,-0.0022991292171414,0.0022991292171414,-0.0016095005575665745
"100,000",-0.00027649981010967177,-0.0007228403954662815,-0.00010895137044891146,-0.0008280558364600633,0.0009993402055759532,0.0004463405853566097,-0.0004463405853566097,-0.0009993402055759532
1000,-0.00026348480463543134,-0.0002840698980972606,-0.0006848735113308294,-0.0009349508934579425,0.0005475547027326919,2.0585093461829252e-05,-2.0585093461829252e-05,-0.0005475547027326919
11,0.0003534737988433105,-0.00102578727207588,-4.960270689407225e-05,0.0004060533449430339,0.0006723134732325696,0.0013792610709191906,-0.0013792610709191906,-0.0006723134732325696
12,-0.0016902596738912388,0.0011245890001773376,-0.001134100474559418,-0.00024596805040733304,0.0005656706737139012,-0.002814848674068576,0.002814848674068576,-0.0005656706737139012
120,-4.238168324583814e-05,0.0010256085268599893,-0.00018193143269692005,0.00013142514519827046,-0.0009832268436141512,-0.0010679902101058275,0.0010679902101058275,0.0009832268436141512
125,0.0003565832689968328,-0.00029059768328298767,-0.0020954055761770733,-0.0018376239356347431,-6.598558571384511e-05,0.0006471809522798204,-0.0006471809522798204,6.598558571384511e-05
13,-0.0006257184360950433,0.0007724006704621048,-0.00047802187394943585,0.001442260242668862,-0.00014668223436706154,-0.001398119106557148,0.001398119106557148,0.00014668223436706154
130,-0.00011817262922905209,-0.000545309059448211,0.0007281527316744852,0.00023856125927138407,0.0006634816886772631,0.0004271364302191589,-0.0004271364302191589,-0.0006634816886772631
132,-0.0007198093467489183,0.00022689402988067508,0.0008305027311695756,-0.00034278321034671275,0.0004929153168682433,-0.0009467033766295933,0.0009467033766295933,-0.0004929153168682433
14,-0.0026010339170269756,1.01733092352645e-05,-0.0007185857962224145,0.0015845961117417582,0.002590860607791711,-0.0026112072262622402,0.0026112072262622402,-0.002590860607791711
142,-0.0011368770459214582,0.0005002094073808247,0.00035086418225295903,-0.00012601214585118033,0.0006366676385406335,-0.0016370864533022827,0.0016370864533022827,-0.0006366676385406335
15,-0.0028221538672720237,-0.0009194173769104983,-0.0019341449023187057,0.000518104574416338,0.0037415712441825223,-0.0019027364903615254,0.0019027364903615254,-0.0037415712441825223
15%,0.00027727677169238834,-0.0014833991726428473,-0.0010762719513145134,-0.0002846211203985572,0.001206122400950459,0.0017606759443352356,-0.0017606759443352356,-0.001206122400950459
150,-3.6475983987008436e-05,0.0022518892656478925,-0.0008090339196601654,-0.0001277254749596485,-0.002215413281660884,-0.002288365249634901,0.002288365249634901,0.002215413281660884
16,-0.00320328120955053,0.0007632832473054714,0.00043396429511988074,-0.000383475437962154,0.0024399979622450585,-0.0039665644568560015,0.0039665644568560015,-0.0024399979622450585
160,-0.0009290909830459445,0.0005556971057917607,0.000507879831005968,-0.00030707452804111247,0.00037339387725418376,-0.0014847880888377053,0.0014847880888377053,-0.00037339387725418376
17,-0.0010913290535192648,0.0001962520848191754,-0.00028588374620845073,-9.836266193710493e-05,0.0008950769687000894,-0.0012875811383384402,0.0012875811383384402,-0.0008950769687000894
